Acinetobacter baumannii
Aeromonas enteropelogenes
Aeromonas hydrophila
Aeromonas veronii
Aliivibrio fischeri
Aliivibrio logei
Bacillus cereus
Bacillus licheniformis
Bacillus pumilus
Bacillus safensis
Bacillus subtilis
Bacillus tequilensis
Brevibacillus brevis
Brevibacterium antarcticum
Brevibacterium sanguinis
Citrobacter freundii
Enterococcus casseliflavus
Enterococcus faecalis
Exiguobacterium oxidotolerans
Francisella tularensis
Leucothrix mucor
Microbacterium aurantiacum
Microbacterium oxydans
Micrococcus flavus
Micrococcus luteus
Mycoplasma P1
Niallia circulans
Paenibacillus lentimorbus
Pantoea agglomerans
Photobacterium damselae
Priestia endophytica
Proteus mirabilis
Pseudoclavibacter helvolus
Pseudomonas marincola
Pseudomonas monteilii
Pseudomonas putida
Psychrobacter glacincola
Psychrobacter nivimaris
Shewanella waksmanii
Spiroplasma eriocheiris
Spiroplasma penaei
Staphylococcus epidermidis
Stenotrophomonas maltophilia
Streptococcus phocae
Vibrio alginolyticus
Vibrio anguillarum
Vibrio brasiliensis
Vibrio breoganii
Vibrio campbellii
Vibrio chagasii
Vibrio crassostreae
Vibrio cyclitrophicus
Vibrio fortis
Vibrio gigantis
Vibrio harveyi
Vibrio hepatarius
Vibrio lentus
Vibrio ordalii
Vibrio parahaemolyticus
Vibrio penaeicida
Vibrio rotiferianus
Vibrio splendidus
Vibrio tasmaniensis
Vibrio tubiashii
Vibrio vulnificus
Wolbachia pipientis
